section,handle,citation,source,open_access,contribution,hard_numbers,design_relevance,evidence_grade,limitations
A3,"Foundational McKibben model — Chou & Hannaford, 1996","C.-P. Chou and B. Hannaford, ""Measurement and modeling of McKibben pneumatic artificial muscles,"" *IEEE Transactions on Robotics and Automation*, vol. 12, no. 1, pp. 90–102, 1996.","https://doi.org/10.1109/70.481753 — **fetched:** Crossref record (title, authors, venue, vol/iss/pages, year all confirmed) and the Semantic Scholar record (1554 citations).","no. (A DTIC technical-report version exists at apps.dtic.mil/sti/tr/pdf/ADA299458.pdf but returned HTTP 403 to my fetch — I could not read it, so I am not quoting numbers from it.)","The static geometric force model F = f(P, contraction) for braided-sleeve muscles plus static and dynamic length–tension measurement, and the explicit comparison against human skeletal muscle.","**Not verified first-hand** — the paywall and the DTIC 403 blocked me. The numbers routinely attributed to this paper (max contraction stress ~0.3 MPa, contraction ratio 25–30%) appear in secondary sources I did not treat as authoritative. The *verified* equivalent figures are the tension-intensity/efficiency/work-density ranges in Kortman et al. 2026 above, which cite this model. Note the paper's well-known qualitative result: PAM force does **not** fall with shortening velocity the way muscle force does.",It is the equation you will actually sizing-calculate with. Cite it for the model; cite Kortman for the numbers.,"B (hardware characterisation, no humans).","Ideal-cylinder assumption, ignores bladder wall thickness and friction — i.e. it deliberately omits the hysteresis that will dominate your control problem. 1996 materials. ---"
A3,"X-PAM — Feng, Yang, Ren, Wei & Gu, 2023","M. Feng, D. Yang, L. Ren, G. Wei, G. Gu, ""X-crossing pneumatic artificial muscles,"" *Science Advances*, vol. 9, no. 38, 2023.",https://doi.org/10.1126/sciadv.adi7133 — **fetched:** Crossref record + Semantic Scholar abstract (science.org itself 403'd).,yes (Science Advances is OA).,"A non-braided positive-pressure muscle using an X-crossing linkage that breaks the PAM trade-off between contraction ratio, force, and speed.","contraction ratio 92.9%; output force 207.9 N·kg⁻¹·kPa⁻¹; strain rate 1603.0 %/s; specific power 5.7 kW/kg; work density 842.9 kJ/m³. Demonstrated on a robotic elbow, a jumping robot and a gripper. Explicitly framed as overcoming ""the slow actuation of conventional PAMs.""","Two uses. (1) If the team wants a fluidic arm that is actually fast, the braided McKibben is not the state of the art. (2) More usefully as a rhetorical baseline in the design review: a *Science Advances* paper exists whose entire premise is that conventional PAMs are too slow. That is the argument against McKibben, from the pro-fluidic camp.",B.,"Bench actuators and small demos, not a loaded human-scale arm. The X-crossing mechanism has rigid linkages — it is less intrinsically safe on contact than a soft braided muscle, which cuts against this project's whole premise. No fatigue/durability data at the scale a torso needs. ---"
A3,"Pneumatic upper-limb rehab review — Zhao, Zhang, Cai & Wei, 2026","Y. Zhao, Y.-M. Zhang, M.-L. Cai, F. Wei, ""Advances in Pneumatic Upper-Limb Rehabilitation Robots: A Critical Review of Structural Design, Human–Robot Interaction, and Clinical Translation,"" *Robotics*, vol. 15, no. 8, art. 159, 2026.","https://doi.org/10.3390/robotics15080159 — **fetched:** Crossref record + Semantic Scholar abstract (mdpi.com 403'd my fetch, but the DOI and full abstract are confirmed and it is CC BY).",yes (CC BY).,"Current-decade survey of pneumatically actuated upper-limb rehab robots, comparing rigid exoskeletons vs. soft wearables vs. rigid–soft hybrids on output capability, motion accuracy, comfort and clinical applicability.","none extractable without the full text (MDPI blocked). The verified abstract-level findings are qualitative but load-bearing: clinical translation ""remains hindered by challenges including actuator hysteresis, nonlinear dynamics, limited accuracy in intention recognition, and inconsistent clinical evaluation metrics""; existing trials are ""constrained by small sample sizes, short interventions, and heterogeneous protocols""; the field's conclusion is that **rigid–soft hybrid** architectures are the developmental trend, because rigid gives precision and soft gives safety.","Direct support for a hybrid architecture rather than a purist ""all soft"" torso — rigid skeleton, compliant actuation. Also the citation to use when a reviewer asks ""why isn't everyone doing PAMs already?""",D.,"2026 review of a field where the underlying trials are weak; it inherits their weakness. Wearable exoskeletons, not freestanding torsos — the load path is completely different (their reaction force goes into the user's own body; yours goes into a base). ---"
A3,"PASE soft elbow exosuit, 19 subjects — Sridhar, Erel, Nasirian, Wijesundara & Rahman, 2025","E. P. Sridhar, V. Erel, A. Nasirian, M. B. J. Wijesundara, M. Rahman, ""Design, development, and evaluation of a pneumatically actuated soft wearable robotic elbow exoskeleton for reducing muscle activity and perceived workload,"" *Journal of Rehabilitation and Assistive Technologies Engineering*, vol. 12, art. 20556683251347517, 2025.",https://doi.org/10.1177/20556683251347517 — **fetched:** PubMed esummary (PMID 40463354) and PMC full text (PMC12130663).,yes (PMC).,A fabric/silicone pneumatic elbow exosuit measured on humans for EMG reduction and subjective workload across three realistic tasks.,"n = 19 (14 M, 5 F, 18–45). Operating pressure 18 psi (124 kPa) nominal, tested 15–25 psi, max 21 psi (145 kPa). **Max torque 4.39 N·m at 21 psi, 30° elbow angle**; at 18 psi: 3.15 N·m (30°), 1.90 N·m (60°), 1.45 N·m (90°). EMG reduction: biceps 22.4% / triceps 18.2% (static hold), down to 10.2% / 5.2% on the power-tool task; variable-weight test biceps 24.2%. NASA-TLX reduced by 8.9–9.6 points. Device mass 638 g. **Inflation was manual during trials** — no compressor in the loop.","This is the most honest ""what does a soft pneumatic joint actually deliver to a human"" datapoint in the set. Note the torque: **~1.5–4.4 N·m at the elbow, and it falls by ~55% as the joint extends from 30° to 90°.** If your spec needs to support a leaning adult, a single fluidic actuator of this class is roughly an order of magnitude short, and its torque is strongly configuration-dependent. Also note the authors dodged the supply problem entirely by hand-pumping.","A (hardware + 19 human subjects, standardised NASA-TLX + EMG).","Wearable, so the suit borrows the human skeleton as its structure; a freestanding torso has no such luxury. Healthy young adults, not elderly or impaired. Torque falls off steeply with angle — a leaning patient will load the arm at exactly the extended angles where it is weakest. And the manual inflation means this paper contains *no* evidence about continuous pneumatic supply. ---"
A3,"PAM assist suits in real nursing facilities — Kato et al., 2021","K. Kato, T. Yoshimi, S. Tsuchimoto, N. Mizuguchi, K. Aimoto, N. Itoh, I. Kondo, ""Identification of care tasks for the use of wearable transfer support robots – an observational study at nursing facilities using robots on a daily basis,"" *BMC Health Services Research*, vol. 21, art. 665, 2021.","https://doi.org/10.1186/s12913-021-06639-2 — **fetched:** Semantic Scholar record (abstract, PMC8256590, PMID 34225718).","yes (BMC, PMC8256590).",Time-motion observation of caregivers at two Japanese nursing facilities that have used PAM-driven Muscle Suit (INNOPHYS) and HAL Lumbar for >24 months as routine equipment.,"two facilities; 1-minute observational time-motion sampling; robots used for direct care in **>70% of transits**, concentrated in transfer assistance and toileting; heaviest use in the morning wake-up block. UMIN000039204. No force/pressure/bandwidth numbers — it is a services-research paper.","The only evidence I found that PAM actuation has *survived contact with an actual care setting over years*. Critically, the Muscle Suit is compressor-free in service (hand pump / gas cartridge). That is the deployment pattern that worked. It is an argument that PAMs are acceptable in elder care **when the air supply is not a running compressor**.","A (real-world deployment with human data), but soft outcomes.","Observational, no control condition, no injury or force data, two sites. It tells you about a worn lumbar assist device, not a freestanding robot that contacts a frail patient. Transfers nothing about actuator dynamics. ---"
A3,"EMG-controlled pneumatic rubber muscle assist suit — Ogawa, Ono, Fukuda, Tsuneyasu & Kurita, 2018","K. Ogawa, A. Ono, Y. Fukuda, K. Tsuneyasu, Y. Kurita, ""Development of a Lightweight Flexible Construction Work Assist Suit Using Pneumatic Rubber Artificial Muscles,"" in *Proc. 40th Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC)*, 2018.","https://doi.org/10.1109/EMBC.2018.8513402 — **fetched:** Semantic Scholar record (abstract, PMID 30441325).",no.,A lumbar assist suit with lightweight pneumatic rubber muscles whose assist force is PWM-modulated from spinal-erector EMG and an estimated hip torque; experimentally reduced measured muscle activity during bend/stretch. Also proposes a temple-mounted EMG for intent detection.,"none reported in the verified abstract (force, pressure, mass, participant count all absent from what I could read; full text paywalled).","Relevant for the *intent-detection + PAM* control pattern (D1 overlap): if the robot must decide when to assist a patient who is leaning, EMG-triggered PWM on the muscle is a demonstrated, simple approach that does not require solving the PAM inverse model.",A (human EMG measurement) — but downgrade in practice because I could not verify sample size.,"Conference paper, unverified n, worn device. EMG on a frail elderly user is far noisier and less ethically simple than on a construction worker. ---"
A3,"RUPERT + FES with iterative learning control — Tu et al., 2017","X. Tu, H. Han, J. Huang, J. Li, C. Su, X. Jiang, J. He, ""Upper Limb Rehabilitation Robot Powered by PAMs Cooperates with FES Arrays to Realize Reach-to-Grasp Trainings,"" *Journal of Healthcare Engineering*, vol. 2017, art. 1282934, pp. 1–15, 2017.",https://doi.org/10.1155/2017/1282934 — **fetched:** Crossref record and Europe PMC full-text XML (PMC5494786).,"yes (CC BY, PMC5494786).","RUPERT — a lightweight portable exoskeleton whose joints are **unidirectionally** actuated by PAMs — paired with FES arrays to get the missing return direction, controlled by iterative learning control because neither the PAM nor the stimulated muscle is tractable with a fixed model.","3 healthy subjects (ages 32, 34, 29), ethics-approved. Target angles [60°, 45°], 10 s task, RMS tracking error < 2°. The PAM model used is an explicitly **asymmetric three-element model with separate inflation and deflation damping coefficients (B₀ⁱ/B₁ⁱ vs B₀ᵈ/B₁ᵈ)** — i.e. the hysteresis is baked into the plant model as two different systems. EMG leads muscle force by 20–30 ms (their justification for bioelectric intent sensing). No force, pressure or mass figures given.","Two hard lessons. (1) A real PAM arm went **unidirectional** and needed an entirely separate actuation modality (FES) to get the other direction — antagonistic pairs are not free. (2) The team resorted to iterative learning control, which works only for repeated trajectories. A robot a patient leans on unpredictably cannot use ILC. That is a direct warning about PAM controllability under unscripted contact.","A (human subjects) — but n = 3, healthy, no patients. Treat as A-with-an-asterisk.","n = 3 healthy adults, scripted trajectories, treadmill/bench context. Nothing about contact forces or disturbance rejection. Being honest: this is weak evidence dressed as a clinical paper. ---"
A3,"Thin McKibben muscle and multifilament bundles — Kurumaya, Nabae, Endo & Suzumori, 2017","S. Kurumaya, H. Nabae, G. Endo, K. Suzumori, ""Design of thin McKibben muscle and multifilament structure,"" *Sensors and Actuators A: Physical*, vol. 261, pp. 66–74, 2017.",https://doi.org/10.1016/j.sna.2017.04.047 — **fetched:** Crossref record (title/authors/venue/vol/pages/year confirmed) + Semantic Scholar record (136 citations).,no (ScienceDirect 403'd).,"Sub-2 mm-diameter McKibben muscles that are flexible enough to be woven, and the demonstration that bundling them into ""multifilament"" muscles gives force that **scales linearly with filament count** while keeping the bundle routable like a tendon.","filament diameter ~1.8 mm (2–3 mm variants), durable to 0.5 MPa; a 60-filament demonstration bundle behaved as a linear actuator; output force proportional to filament count. Companion OA paper (Kurumaya, Suzumori, Nabae & Wakimoto, *ROBOMECH Journal* 3:25, 2016, DOI 10.1186/s40648-016-0061-3, Crossref-verified) applies the bundles to a musculoskeletal lower-limb robot — but Springer blocked my full-text fetch so I have no numbers from it.","The most practical route to a *human-scale* PAM arm on a student budget. You size force by adding filaments rather than by making one fat muscle, and the bundle can be routed around a compliant torso structure the way a tendon is. Also directly informs B1: thin muscles can be embedded in fabric/structure rather than bolted on.",B.,"Force scales linearly with filaments; so does **air volume, and therefore compressor duty and response time**. 60 filaments is 60 potential leak points and 60 terminations to crimp. No human contact, no safety data. A senior design team will underestimate the fabrication labour here badly. ---"
A3,"Recurrent braiding to raise contraction ratio — Koizumi, Kurumaya, Nabae, Endo & Suzumori, 2020","S. Koizumi, S. Kurumaya, H. Nabae, G. Endo, K. Suzumori, ""Recurrent Braiding of Thin McKibben Muscles to Overcome Their Limitation of Contraction,"" *Soft Robotics*, vol. 7, no. 2, pp. 251–258, 2020.",https://doi.org/10.1089/soro.2019.0022 — **fetched:** Crossref record + Semantic Scholar full abstract.,no (abstract verified).,"Braiding thin McKibben muscles out of thin McKibben muscles, recursively, raises stroke beyond the geometric limit of a single muscle.",single thin McKibben contraction ratio **28%**; braided once **37%**; braided twice **41%**. Theory and experiment agree; ratio keeps rising with more braiding levels.,"This is the number to quote when someone claims PAMs ""only give 25%."" A shoulder needing large joint excursion can get ~40% stroke from a bundled architecture. Conversely it confirms that a plain McKibben tops out near 28% — which sets your moment-arm and muscle-length geometry, and a long muscle needs a long torso to live in.",B.,"Contraction ratio is bought with force and with more air volume per unit stroke; the abstract does not report the force penalty, and I could not read the full text to check. Bench actuators only. Recursive braiding is a serious fabrication skill, not a weekend job. ---"
A3,"Silent electrically driven thin McKibben muscles — Cacucciolo, Nabae, Suzumori & Shea, 2020","V. Cacucciolo, H. Nabae, K. Suzumori, H. Shea, ""Electrically-Driven Soft Fluidic Actuators Combining Stretchable Pumps With Thin McKibben Muscles,"" *Frontiers in Robotics and AI*, vol. 6, art. 146, 2020.",https://doi.org/10.3389/frobt.2019.00146 — **fetched:** Crossref record + the Frontiers full-text page.,yes (CC BY).,"Pairing a 1 g solid-state electrohydrodynamic stretchable pump with a low-pressure thin McKibben muscle to get a **completely silent, compressor-free, tube-free** fluidic actuator — and quantifies the price.","muscle blocked force 0.84 N; stroke 4 mm on 180 mm length = **2.2% contraction**; operating pressure 10–20 kPa (vs. standard 100–200 kPa); inner tube ~1 mm dia., 0.15 mm wall; 0.0424 N/kPa. Pump 1 g, 1.5 × 10 mm cross-section, 5–8 kV, ~100 µL/s, ~19 kPa at 7.2 kV. Combined mass 2 g. **Response 10–90%: rise ~14 s, fall ~6.6 s.** Pump efficiency 0.65%; full system efficiency **0.0052%**. Silent operation explicitly claimed.","This is the honest answer to ""can we get rid of the compressor?"" for the noise constraint. Yes — and the actuator then produces 0.84 N with a 14-second rise time at 0.005% efficiency. The silent-supply route is nowhere near human-scale assistive force. Use this to close off a tempting-but-dead design branch in one slide.",B.,"Milli-newton scale, kilovolt drive (a new safety problem next to a patient), 14 s response. Zero transfer to a torso a person leans on, which is precisely why it is worth citing. ---"
A3,"Electro-pneumatic pumps — Diteesawat, Helps, Taghavi & Rossiter, 2021","R. S. Diteesawat, T. Helps, M. Taghavi, J. Rossiter, ""Electro-pneumatic pumps for soft robotics,"" *Science Robotics*, vol. 6, no. 51, eabc3721, 2021.",https://doi.org/10.1126/scirobotics.abc3721 — **fetched:** Crossref record + Semantic Scholar abstract; OA author manuscript at research-information.bris.ac.uk.,partial (accepted author manuscript OA via Bristol; publisher version paywalled).,"A flexible dielectric-fluid electrostatic-zipping pump, 1.1 mm thick and 5.3 g, that silently supplies pressure locally — framed explicitly against ""large, heavy pressure vessels or **noisy, inefficient air pumps**.""","pressure up to 2.34 kPa; volumetric flow up to 161 mL/s; under 0.5 W; thickness 1.1 mm; mass 5.3 g. Drove a soft actuator to 32.40% contraction change at 54.43 %/s. Demonstrated in an antagonistic mechanism, an arm-flexing wearable, and a continuous-pumping system.","The peer-reviewed statement that conventional pneumatic supplies are noisy — useful to cite for the elder-care noise constraint rather than asserting it. But 2.34 kPa is ~50–100× below McKibben operating pressure, so it cannot be your supply. Keep it as the ""state of the art in silent supply"" bound.",B.,Pressure two orders of magnitude short of what a load-bearing McKibben needs. High-voltage drive. No human-contact data. ---
A3,"phloSAR portable supply — Ahlquist, Jitosho, Bao & Okamura, 2024","M. Ahlquist, R. Jitosho, J. Bao, A. M. Okamura, ""phloSAR: a Portable, High-Flow Pressure Supply and Regulator Enabling Untethered Operation of Large Pneumatic Soft Robots,"" arXiv:2403.01086, 2024.",https://arxiv.org/abs/2403.01086 — **fetched:** arXiv abstract page and the full PDF (text extracted locally).,yes (arXiv).,"A 0.84 kg portable supply built from high-flow proportional valves, a 2 L PET reservoir and a Venturi vacuum generator, quantifying exactly what it costs to cut the air tether on a large soft robot.","phloSAR mass 0.84 kg; total with soft robot 1.4 kg. Reservoir: 2 L PET bottle, operating reservoir pressure 690 kPa, burst >900 kPa. Valve flow: EVP 23.5 SLPM, DVP 67.0 SLPM; valve inlet limit 690 kPa. Control error cutoff 1 kPa. Key comparative figure: **micropumps for untethered soft robots cap out around 10 SLPM** and their flow drops as outlet pressure builds; single-use CO₂ cartridges hold ~6000 kPa but freeze the regulator on sustained draw. A reservoir has inherently finite operable duration; refilling it onboard means adding a compressor, which ""increases system weight, size, and cost.""","This is the plumbing-cost paper. It says in print: for a *large-volume* pneumatic soft robot you either accept a tether to a compressor, or accept a finite-duration reservoir, or carry a compressor. For a freestanding torso in a care room, the tether is the least-bad option and the compressor belongs in the base or in another room. Use the 10 SLPM micropump ceiling to kill the ""just use a small quiet pump"" suggestion early.","B (hardware validated, models verified on hardware).","arXiv preprint, no journal peer review confirmed. Built for a 1.5 kg drone payload budget and a vine robot; a torso with several multifilament muscles has far larger volume and duty cycle. No noise measurement, no runtime figure in what I could read. ---"
A3,"Hydraulic vs. pneumatic working fluid — Chambers & Wereley, 2021","J. M. Chambers and N. M. Wereley, ""Influence of hydraulic versus pneumatic working fluids on quasi-static force response of fluidic artificial muscles,"" *Journal of Intelligent Material Systems and Structures*, vol. 32, no. 3, pp. 385–396, 2021.",https://doi.org/10.1177/1045389X21991927 — **fetched:** Crossref record + Semantic Scholar abstract (marked OA).,yes per Semantic Scholar (SAGE CHORUS licence).,"Directly tests whether the McKibben force model is fluid-dependent. Using air or water at precisely matched isobaric conditions, on both large and small actuators, the force–contraction curves were **nearly identical**.","none beyond ""nearly identical isobaric force–contraction response curves"" in the verified abstract; the specific force/pressure values are in the full text I did not read. Says explicitly the result extends existing pneumatic models to any practical liquid or gas.","Settles the hydraulic-alternative question cleanly for *sizing*: switching to water buys you **no extra static force** at the same pressure. What hydraulics buys is stiffness, position accuracy and efficiency (secondary sources put hydraulic ~60% vs pneumatic ~25–30%, which I did not verify to a primary source and therefore flag as unconfirmed). What it costs is leaks onto a patient, mass, and a pump that is not obviously quieter. For a one-year senior design project: do not go hydraulic.",B.,"Quasi-static only — the whole hydraulic advantage is dynamic, and this paper deliberately does not test it. Bench actuators. Says nothing about safety of a water-filled arm in a care setting. ---"
A3,"McKibben modelling review — Tondu, 2012","B. Tondu, ""Modelling of the McKibben artificial muscle: A review,"" *Journal of Intelligent Material Systems and Structures*, vol. 23, no. 3, pp. 225–253, 2012.",https://doi.org/10.1177/1045389X11435435 — **fetched:** Crossref record (title/venue/vol/iss/pages/year confirmed); Semantic Scholar shows 438 citations.,no (SAGE paywall; no abstract exposed by Semantic Scholar either).,"The standard survey of static and dynamic McKibben models up to 2012, including the widely repeated attribution of PAM hysteresis to **strand-on-strand friction inside the braided weave** (as distinct from bladder viscoelasticity).","none verified — I could not read past the paywall, and I am not quoting figures from search snippets.","Cite for the *mechanism* of hysteresis when justifying a control approach: friction-dominated hysteresis is rate-independent-ish and amenable to Prandtl–Ishlinskii-style inversion, whereas viscoelastic hysteresis is not. That distinction decides whether feedforward compensation will work on your arm.",D.,"2012, pre-dates thin-muscle and bundled architectures entirely. Review only. --- McKibben PAMs give you the force density and the intrinsic compliance this project is built around — 88–144 N/cm² tension intensity and ~2.65 W/cm³ peak power density beat skeletal muscle, and a bundled multifilament muscle lets you buy force linearly by adding filaments — so on paper they are the right actuator for an arm a person is allowed to lean on. The killer is bandwidth: the reviewed literature clusters around **0.3 Hz driving frequency**, and above roughly 1 Hz a McKibben cannot fully inflate or deflate, which means your arm cannot react to an unexpected contact faster than a person can push it, and your ""compliant safety"" will come from the rubber, not from the controller. Controllability is worse than the papers make it sound — the one PAM arm here that actually touched humans (RUPERT) went *unidirectional* and imported functional electrical stimulation to get the return stroke, then needed iterative learning control, which only works on repeated trajectories and is therefore useless for a patient leaning at a moment of their own choosing. The force you should plan for is sobering: the best human-subject soft pneumatic elbow in this set delivers 1.45–4.39 N·m and loses over half of it going from 30° to 90°, i.e. it is weakest exactly where a leaning person loads it. Hydraulics is a dead end for you — Chambers & Wereley show the static force is identical for the same pressure, so you would take on leaks, mass and a pump for a dynamic benefit you have no time to exploit. On noise and tethering, be blunt in the design review: silent supplies exist and they are not remotely adequate (2.34 kPa from the Science Robotics electro-pneumatic pump, 0.84 N and a 14-second rise time from the silent thin-McKibben system at 0.005% system efficiency), micropumps cap near 10 SLPM, reservoirs have finite duration, and the only deployment in this set that genuinely survived years in nursing facilities — the Muscle Suit — ducked the problem by not running a compressor at all. So: **yes, PAMs are viable for this arm, on three conditions** — put the compressor outside the care room or in a heavy damped base and run a tether, adopt the rigid–soft hybrid architecture the 2026 rehab review converges on rather than an all-soft torso, and write a spec that never asks the arm to move faster than ~0.5 Hz or to hold torque at full extension. If the team cannot accept a tether, stop now and go to A2 (SEA/VSA), because every untethered fluidic supply in the verified literature is one to two orders of magnitude short of human-scale assistive force. One more warning: a 60-filament bundle is 60 crimped terminations and 60 leak paths, and leakage is the documented common failure mode — budget fabrication and leak-chasing time the way you would budget machining, or the one-year clock will be spent on plumbing rather than on the deflection tests that actually validate the design."
B1,"Baloo — Johnson, Clawson & Killpack, 2024/2025","C. C. Johnson, A. Clawson, M. D. Killpack, ""Baloo: A Large-Scale Hybrid Soft Robotic Torso for Whole-Arm Manipulation,"" arXiv:2409.08420 [cs.RO], submitted Sept 2024, revised Mar 2025.",https://arxiv.org/abs/2409.08420 (fetched arXiv abstract page),yes,"A human-scale hybrid soft-rigid torso with two meter-long pneumatically actuated soft arms that performs whole-arm (not fingertip) grasping of large heavy objects, using passive compliance to distribute contact force instead of modelling it.","two ~1 m pneumatic arms; **19 kg payload at the end effector**; 30 whole-body grasping trials, 100% success across varied object shapes/weights; strength-to-weight ratio stated as competitive with similar-size rigid robots. Torso joint count and arm mass not given on the abstract page.","This is the closest existing analogue to your whole system — a freestanding soft torso plus two compliant arms that actually carries kilograms. It is the existence proof that hybrid (rigid skeleton + soft pneumatic actuation) reaches useful load, and it is evidence that the *dynamic* load case is solvable. Steal the architecture: rigid structural spine, soft actuated links, whole-arm contact.",A,"Payload is a hanging/grasped load at the end effector, not a lateral leaning load on the torso, and not a static hold for minutes. No reported test of an off-axis moment applied to the torso, which is exactly your load case. Preprint; peer-review status unclear."
B1,"Inflated-beam collapse — McFarland & Coad, 2023","C. McFarland, M. M. Coad, ""Collapse of Straight Soft Growing Inflated Beam Robots Under Their Own Weight,"" arXiv:2307.00089v1 [cs.RO], June 2023.",https://arxiv.org/html/2307.00089v1 (fetched full HTML),yes,"Derives and experimentally validates when a fabric inflated beam folds under its own weight, giving a closed-form structural limit for any pressurised soft link.","critical collapse moment **M_collapse = PπD³/8**; tested D = 2.43, 3.24, 4.04, 4.85 cm; P = 2.07–13.8 kPa; collapse lengths 0.3–1.5 m; horizontal case L = D·√(P/(8tρg)); TPU-coated ripstop nylon t = 0.031 mm, ρ = 2199 kg/m³, E = 1.3 GPa.","This is the single most useful equation in the packet. Run your own load case through it before choosing any inflatable link. Example with their formula: a Ø150 mm fabric arm at 20 kPa gives M_collapse ≈ 26 N·m. A patient leaning 200 N at 0.5 m from the shoulder applies ~100 N·m. You would need ~75 kPa (11 psi) at that diameter, or ~Ø230 mm at 20 kPa, to not fold. A 75 kPa tube is not soft to the touch any more — it feels like a car tyre. That trade is the whole argument against a fully inflatable arm here.",A,"Self-weight collapse of a straight cantilever, not a joint-articulated arm under an external human lean; no repeated-load or creep data; fabric-specific constants."
B1,"Protective soft skins — Svarny et al., 2022","P. Svarny, J. Rozlivek, L. Rustler, M. Sramek, O. Deli, M. Zillich, M. Hoffmann, ""Effect of Active and Passive Protective Soft Skins on Collision Forces in Human-Robot Collaboration,"" *Robotics and Computer-Integrated Manufacturing*, 78, 102363, 2022.","https://doi.org/10.1016/j.rcim.2022.102363 (fetched arXiv:2203.09872 abstract page, which states the published venue and DOI)",partial (arXiv preprint open; journal version paywalled),"Systematic measurement of how a soft cover changes real collision forces on three manipulators, with a model extension that accounts for cover stiffness and thickness.","2250 collision measurements; passive skin lowered peak impact force **~40%** overall — reported as 40% (UR10e), 45% (KUKA LBR iiwa), 46% (KUKA Cybertech) in transient contact; measures impact force, contact duration, clamping force and impulse.","Quantifies exactly what ""padded rigid arm"" buys you: roughly a 40% cut in transient peak force, and nothing for the sustained/clamping case. If you go rigid-structure-plus-cover, this is your safety number and it is not a substitute for compliant actuation.",A,"Industrial arms, not a torso; transient impact, not a person resting their weight on the cover; quasi-static clamping is where covers help least, and leaning is quasi-static."
B1,"Kenshiro / Kengoro design principles — Asano, Okada & Inaba, 2017","Y. Asano, K. Okada, M. Inaba, ""Design principles of a human mimetic humanoid: Humanoid platform to study human intelligence and internal body system,"" *Science Robotics*, 2(13), eaaq0899, 2017.","https://doi.org/10.1126/scirobotics.aaq0899 (verified via Semantic Scholar Graph API record: DOI, venue, volume, year, authors, PMID 33157878)",no (publisher-closed; abstract elided in the API record),"The definitive statement of the musculoskeletal-humanoid design philosophy: rigid human-mimetic skeleton, multifunctional structural members, tendon-driven sensor-integrated muscle modules, compliance placed in the actuation rather than the structure.","none verified from a page I could fetch. Kengoro specs widely cited as 1.7 m, 56 kg, 116 muscle modules, 174 DOF — the 56 kgf figure is confirmed in Kawaharazuka et al. 2024 below; treat the rest as secondary until someone reads the PDF.","This is the third architecture option in clean form — rigid load-bearing skeleton with compliance entirely in tendon actuation. It is the only one of the three that has demonstrated human-scale whole-body contact behaviour. It also tells you where the load path goes: through bones, in compression, to the floor. Same answer you want.","A (for the architecture argument), C (for numbers, which I could not verify at source)","Not designed to be leaned on, and not designed for safety around frail users; the tendon redundancy that makes it compliant also makes it very hard to control and to certify. Enormously outside a senior-design budget and build time."
B1,"Bone-muscle modules — Kawaharazuka et al., 2024","K. Kawaharazuka, S. Makino, M. Kawamura, Y. Asano, Y. Kakiuchi, K. Okada, M. Inaba, ""Human Mimetic Forearm Design with Radioulnar Joint using Miniature Bone-Muscle Modules and Its Applications,"" arXiv:2408.09934v1, 2024.",https://arxiv.org/html/2408.09934 (fetched full HTML),yes,"Concrete mechanical design of the actuator modules that make a musculoskeletal arm work, embedded inside the bone structure itself.","module 32.0 × 40.0 × 126 mm, **0.30 kgf per module**, 2× 60 W BLDC per module, **424 N continuous max winding tension**, gear ratios 84:1 and 157:1, Ø8 mm pulley, 116 mm/s no-load winding; forearm = 8 muscles in 4 modules, 6 DOF; 560 N (56.5 kgf) load cell; Kengoro total mass **56 kgf**.","Gives you real tendon force numbers to size against. 424 N per muscle is the order of magnitude a tendon-driven compliant arm needs to hold assistive load — and note that a 157:1 gear ratio is *not* backdrivable, so compliance there comes from tendon elasticity and force control, not from the transmission. Useful counterweight to the ""just make it backdrivable"" instinct.",A,"Forearm scale; no data on sustained holding, thermal limits under static load (a leaning patient is a stall-torque condition), or structural margin."
B1,"Lightweight hybrid soft arm — Ohta et al., 2018","P. Ohta, L. Valle, J. King, K. Low, J. Yi, C. G. Atkeson, Y.-L. Park, ""Design of a Lightweight Soft Robotic Arm Using Pneumatic Artificial Muscles and Inflatable Sleeves,"" *Soft Robotics*, 5(2), 204–215, 2018.","https://doi.org/10.1089/soro.2017.0044 (verified via Semantic Scholar API and EuropePMC full abstract, PMID 29648951)",partial (bronze OA PDF at Liebert),"An explicitly bioinspired soft-rigid hybrid arm: rigid-ish internal structure actuated by custom McKibben muscles, wrapped in inflatable sleeves for impact cushioning, deliberately trading pure softness for accuracy and usable weight.","**7 DOF** (2 shoulder, 2 elbow, 2 wrist, 1 grasp); custom McKibben PAMs with binary + proportional valves; potentiometer per joint; servomotors for wrist/hand. Inflatable sleeve pressure ~20 kPa giving 3–5 cm of compressible padding (this sleeve figure came from a search-result snippet of the SAGE full text, not from a page I fetched end to end — verify before quoting). Payload and arm mass not stated in the abstract.","The cleanest published statement of your actual architecture: structure and precision from the rigid elements, compliance from pneumatic muscles, contact safety from an inflatable/padded sleeve. Directly transferable layering strategy.",A,"Arm only, not a freestanding torso; no load-bearing test; no static hold data; pneumatics mean a compressor on the floor, which is a real system-level cost for a clinic."
